تحقيق محمد باقر الأنصاري	ق 1
علي بن محمد بن حبيب الماوردي البصري الشافعي	0450
طاشكبري زادة	0968
أبو بكر أحمد بن محمد بن هارون بن يزيد الخلال	0311
أحمد بن علي بن عبد القادر بن محمد المقريزي (المتوفى : 845هـ)	0845
شهاب الدين أحمد بن محمد بن أحمد بن يحيى، أبو العباس المقري التلمساني (المتوفى: 1041هـ)	1041
أبو محمد يحيى بن محمد بن صاعد بن كاتب الهاشمي بالولاء البغدادي (المتوفى: 318هـ)	0318
إبراهيم بن محمد الثقفي	0283
يحيى بن أبى بكر بن محمد بن يحيى العامري الحرضي (المتوفى: 893هـ)	0893
أمين الدولة محمد بن محمد بن هبة الله العلوي الحسيني أبو جعفر الأفطسي الطرابلسي (المتوفى: بعد 515هـ)	NOTGIVEN
أبو الحسن علي بن إسماعيل بن إسحاق بن سالم بن إسماعيل بن عبد الله بن موسى بن أبي بردة بن أبي موسى الأشعري (المتوفى: 324هـ)	0324
الشيخ الماحوزي	1121
الشيخ محمد صادق النجمي	1450
محمد بن يوسف الصالحي الشامي	0942
إبراهيم بن علي بن محمد، ابن فرحون، برهان الدين اليعمري (المتوفى: 799هـ)	0799
ابن حمدون محمد بن الحسن بن محمد بن علي	0608
عبد الحميد الشرواني	9999
عبد الله بن يوسف الجديع	NOTGIVEN
شمس الدين محمد بن أحمد بن عثمان الذهبي	0748
إسماعيل بن جعفر بن أبي كثير الأنصاري الزرقي مولاهم، أبو إسحاق المدني - ويكني أيضا: أبا إبراهيم (المتوفى: 180هـ)	0180
محمد بن علي بن أحمد، شمس الدين الداوودي المالكي (المتوفى: 945هـ)	0945
ابن الصباغ	0855
قطب الدين الراوندي	0573
محمد عبد الرشيد النعماني الباكستاني (المتوفى: 1420هـ)	1420
تقي الدين بن عبد القادر التميمي الداري الغزي (المتوفى: 1010هـ)	1010
الغرناطي الكلبي	0741
عبد الكريم الرافعي	0623
جلال الدين عبد الرحمن السيوطي	0911
أحمد بن حجر بن محمد بن حجر بن أحمد بن حجر بن طامي بن حجر بن سند بن سعدون آل بوطامي البنعلي (المتوفى: 1423هـ)	1423
سليمان بن عمر بن منصور العجيلي الأزهري، المعروف بالجمل (المتوفى: 1204هـ)	1204
الشيخ محمد ابن العلامة علي بن آدم ابن موسى الأثيوبي الولوي	NOTGIVEN
أبو العباس محمد بن يزيد الثمالي الأزدي المعروف بالمبرد	0286
أبو الحسين ابن أبي يعلى، محمد بن محمد (المتوفى: 526هـ)	0526
زين الدين بن إبراهيم بن محمد، المعروف بابن نجيم المصري (المتوفى: 970هـ)	0970
عبيد الله بن عبد الله بن أحمد الهروي أبو الفضل	0405
المحقق السبزواري	1090
علي بن نايف الشحود	NOTGIVEN
غريغوريوس بن اهرون الملطي ، المعروف بابن العبري (المتوفى : 685هـ)	0685
علي بن جعفر بن علي السعدي، أبو القاسم، المعروف بابن القطاع الصقلي (المتوفى: 515هـ)	0515
أبو الفتح عثمان ابن جني	0392
نظام الدين الحسن بن محمد بن حسين القمي النيسابوري	0728
أبو بكر محمد بن إبراهيم بن علي بن عاصم بن زاذان الأصبهاني الخازن، المشهور بابن المقرئ (المتوفى: 381هـ)	0381
عبد الرحمن بن أبي حاتم محمد بن إدريس أبو محمد الرازي التميمي	0327
ابن عابدين ( علاء الدين )	1306
محمد بن أحمد الفاسي المكي أبو الطيب	0832
أحمد بن عبد الله بن أبي الخير بن عبد العليم الخزرجي الأنصاري الساعدي اليمني، صفي الدين (المتوفى: بعد 923هـ)	NOTGIVEN
الإمام الحافظ شمس الدين محمد بن أحمد بن عثمان بن قايماز الذهبي	0748
إبراهيم بن علي بن تميم الأنصاري، أبو إسحاق الحصري القيرواني (المتوفى: 453هـ)	0453
محمد بن هارون الروياني أبو بكر	0307
بشير علي عمر	NOTGIVEN
محمد علي بن محمد بن علان بن إبراهيم البكري الصديقي الشافعي (المتوفى: 1057هـ)	1057
الزبير بن بكار بن عبد الله القرشي الأسدي المكي (المتوفى: 256هـ)	0256
عبد الله بن الزبير الحميدي	0219
عبد الرحمن بن محمد بن عبيد الله الأنصاري، أبو البركات، كمال الدين الأنباري (المتوفى: 577هـ)	0577
عبد الملك بن حسين بن عبد الملك العصامي المكي (المتوفى: 1111هـ)	1111
أبو الفتح محمد بن عبد الكريم بن أبى بكر أحمد الشهرستاني (المتوفى: 548هـ)	0548
علي بن الحسين بن محمد بن أحمد بن الهيثم المرواني الأموي القرشي، أبو الفرج الأصبهاني (المتوفى: 356هـ)	0356
عبد القادر بن محمد بن نصر الله القرشي، أبو محمد، محيي الدين الحنفي (المتوفى: 775هـ)	0775
أبو الفتح، سليم بن أيوب بن سليم الرازي (المتوفى: 447هـ)	0447
أحمد بن محمد بن علي المقري الفيومي	0770
أبو الفرج المعافى بن زكريا النهرواني (المتوفى : 390هـ)	0390
أبو محمد بدر الدين حسن بن قاسم بن عبد الله بن علي المرادي المصري المالكي (المتوفى: 749هـ)	0749
المناوي	1031
محمد نصر الدين محمد عويضة	NOTGIVEN
تقي الدين أبو إسحاق إبراهيم بن محمد الصيرفيني	0641
أبو عبد الله محمد بن علي بن عمر التميمي المازري المالكي (المتوفى: 536هـ)	0536
أبو القاسم عبد الرحمن بن عبد الله بن أحمد السهيلي (المتوفى: 581هـ)	0581
أبو الفرج عبد الرحمن بن علي بن الجوزي	0597
ابن السكيت، أبو يوسف يعقوب بن إسحاق (المتوفى: 244هـ)	0244
يحيى بن علي بن عبد الله القرشي أبو الحسين	0662
محمد بن فتوح بن عبد الله بن فتوح بن حميد الأزدي الميورقي الحميدي أبو عبد الله بن أبي نصر (المتوفى: 488هـ)	0488
أبو الهدى الكلباسي	1356
عبد الرحمن بن محمد بن سليمان الكليبولي المدعو بشيخي زاده	1078
الشاموخي	0443
ملتقى أهل الحديث	NOTGIVEN
ضياء الدين بن الأثير، نصر الله بن محمد (المتوفى: 637هـ)	0637
أبو محمد علي بن أحمد بن سعيد بن حزم الأندلسي	0456
سراج الدين أبو حفص عمر بن المظفر بن الوردي، البكري القرشي، المعري ثم الحلبي (المتوفى: 852هـ)	0852
علاء الدين محمد بن (محمد أمين المعروف بابن عابدين) بن عمر بن عبد العزيز عابدين الحسيني الدمشقي (المتوفى: 1306هـ)	1306
محمد بن عبد الله بن عبد القادر غبان الصبحي	NOTGIVEN
محمد مهدي شمس الدين	1450
أبو العباس محمد بن إسحاق بن إبراهيم بن مهران الخراساني النيسابوري المعروف بالسراج (المتوفى: 313هـ)	0313
خالد محمد خالد ثابت (المتوفى: 1416هـ)	1416
عبد الله بن سعيد بن محمد عبادي اللحجي الحضرمي الشحاري، ثم المراوعي، ثم المكي (المتوفى: 1410هـ)	1410
محمد ضياء الرحمن الأعظمي	NOTGIVEN
محمد بن أبي الفتح بن أبي الفضل البعلي، أبو عبد الله، شمس الدين (المتوفى: 709هـ)	0709
العلامة المجلسي	1111
إبراهيم بن محمد المدخلي	NOTGIVEN
العظيم آبادي	1329
محمد شمس الحق العظيم آبادي	1329
أبو الحسين يحيى بن أبي الخير بن سالم العمراني اليمني الشافعي (المتوفى: 558هـ)	0558
ابن أبي أصبيعة	0668
الحافظ الإمام شمس الدين الذهبي	0748
علي بن الجعد بن عبيد أبو الحسن الجوهري البغدادي	0230
علي بن أحمد بن سعيد بن حزم الطاهري أبو محمد	0456
محمد بن إسحاق بن العباس الفاكهي أبو عبد الله	0275
عبد الرحمن بن ناصر بن عبد الله السعدي (المتوفى: 1376هـ)	1376
أبو عبد الله محمد بن عبد الله الأصبهاني المعروف بالخطيب الإسكافي (المتوفى: 420هـ)	0420
الملا على كني	1306
هشام بن عمار بن نصير بن ميسرة بن أبان السلمي	0246
ابن العربي	0638
سعيد بن محمد بن أحمد الأفغاني (المتوفى: 1417هـ)	1417
علماء وطلبة علم	NOTGIVEN
عماد الدين الكاتب الأصبهاني، محمد بن محمد صفي الدين بن نفيس الدين حامد بن أله، أبو عبد الله (المتوفى: 597هـ)	0597
الشيخ المفيد	0413
أحمد زكي صفوت	9999
أبو القاسم عبد الرحمن بن عبد الله عبد الحكم بن أعين القرشي المصري	0871
السيد حسن الصدر	1354
يحيى بن علي بن عبد الله بن علي بن مفرج، أبو الحسين، رشيد الدين القرشي الاموي النابلسي ثم المصري، المعروف بالرشيد العطار (المتوفى: 662هـ)	0662
أبو الحسين محمد بن أحمد بن محمد بن علي الصيرفي، ابن الآبنوسي البغدادي (المتوفى: 457هـ)	0457
لسان الدين بن الخطيب ، محمد بن عبد الله (المتوفى : 776هـ)	0776
أبو عبد الله بدر الدين محمد بن عبد الله بن بهادر الزركشي الشافعي (المتوفى: 794هـ)	0794
محمد بن طلحة بن محمد بن عثمان أبو الحسن النعالي الرافضي (المتوفى: 413هـ)	0413
أبو داود سليمان بن الأشعث بن إسحاق بن بشير بن شداد بن عمرو الأزدي السجستاني (المتوفى: 275هـ)	0275
خليل بن شاهين الظاهري	ق 9
تقي الدين أبي الفتح	0702
محمود شيت خطاب (المتوفى: 1419هـ)	1419
أبو الحسن علي بن عبد السلام التسولي	1258
أبو الفرج عبد الرحمن بن علي بن محمد القرشي	0597
من علماء البحرين والقطيف	1450
أبو العباس أحمد بن علي القلقشندي (المتوفى: 821هـ)	0821
وليد بن حسني بن بدوي بن محمد الأموي	NOTGIVEN
أحمد بن محمد مكي، أبو العباس، شهاب الدين الحسيني الحموي الحنفي (المتوفى: 1098هـ)	1098
الفاضل التوني	1071
هذه نتائج وخواتيم رسائل علمية وأبحاث لمؤلفين مختلفين تحوي خلاصات ما فيها	NOTGIVEN
أبو محمد حرب بن إسماعيل بن خلف الكرماني (المتوفى: 280هـ)	0280
علي بن إسماعيل الأشعري أبو الحسن	0324
يوسف بن قزأوغلي - أو قزغلي - ابن عبد الله، أبو المظفر، شمس الدين، سبط أبي الفرج ابن الجوزي (المتوفى: 654هـ)	0654
الجامعة الإسلامية بالمدينة النبوية	NOTGIVEN
المقريزي	0845
ضياء الدين أبو عبد الله محمد بن عبد الواحد المقدسي (المتوفى: 643هـ)	0643
أبو المعالي برهان الدين محمود بن أحمد بن عبد العزيز بن عمر بن مازة البخاري الحنفي (المتوفى: 616هـ)	0616
أبو منصور عبد الرحمن بن محمد بن هبة الله بن عساكر	0620
أبو القاسم محمود بن عمرو بن أحمد، الزمخشري جار الله (المتوفى: 538هـ)	0538
أبو الحسن علي بن بسام الشنتريني (المتوفى: 542هـ)	0542
أبو زكريا يحيى بن زياد بن عبد الله بن منظور الديلمي الفراء (المتوفى: 207هـ)	0207
أبو العباس الأصم محمد بن يعقوب بن يوسف النيسابوري (346 هـ)	NOTGIVEN
الشهيد الثاني	0966
محمد بن علي الصوري	0441
"نور الدين أبو الحسن على بن سلطان محمد القاري الهروي المعروف ""بملا على القاري"""	1014
محمد بن عبد الله بن محمد بن إبراهيم اللواتي الطنجي، أبو عبد الله، ابن بطوطة (المتوفى: 779هـ)	0779
إبراهيم بن علي بن تميم الأنصاري، أبو إسحاق الحصري (المتوفى: 453هـ)	0453
شيخ الإسلام أبو إسماعيل عبد الله بن محمد الأنصاري الهروي	0481
عبد الحميد محمد بن باديس الصنهاجي (المتوفى: 1359هـ)	1359
عبد الله بن ضيف الله الرحيلي	NOTGIVEN
علي بن محمد القمي	ق 7
محمد بن حبيب البغدادي	0245
عضد الدين عبد الرحمن بن أحمد الإيجي	0756
يحيى بن محمد بن محمد بن عبد الله، أبو زكرياء الشاوي الملياني الجزائري المالكي (المتوفى: 1096هـ)	1096
محمد بن إبراهيم بن عبد الله التويجري	NOTGIVEN
أبو حفص عمر بن علي الأنصاري الشهير بابن الملقن	0804
الامام أبي الحسن تقي الدين علي بن عبد الكافي السبكي	0756
السيد المرتضى	0436
السيوطي	0911
أبو بكر أحمد بن محمد بن إسماعيل البناء ابن المهندس (المتوفى: 385هـ)	0385
عبد الرحمن بن محمد بن إدريس بن المنذر التميمي، الحنظلي، الرازي ابن أبي حاتم (المتوفى: 327هـ)	0327
عمرو بن أبي عاصم	0287
مجد الدين أبو طاهر محمد بن يعقوب الفيروزآبادى (المتوفى: 817هـ)	0817
عبد العزيز بن أحمد بن محمد، علاء الدين البخاري الحنفي (المتوفى: 730هـ)	0730
محمد بن عبد الغني بن أبي بكر بن شجاع، أبو بكر، معين الدين، ابن نقطة الحنبلي البغدادي (المتوفى: 629هـ)	0629
السرخسي	0483
إسماعيل باشا البغدادي	1339
أبو الريحان محمد بن أحمد البيروني الخوارزمي (المتوفى: 440هـ)	0440
عبد المجيد بن سالم المشعبي	NOTGIVEN
أبو القاسم هبة الله بن الحسن بن منصور الطبري الرازي اللالكائي (المتوفى: 418هـ)	0418
ابن أبي العز الحنفي	0792
أبو الحسن ظهير الدين علي بن زيد البيهقي، الشهير بابن فندمه (المتوفى: 565هـ)	0565
أبو سعيد بن الأعرابي أحمد بن محمد بن زياد بن بشر بن درهم البصري الصوفي (المتوفى: 340هـ)	0340
ناصر بن عبد السيد أبى المكارم ابن على، أبو الفتح، برهان الدين الخوارزمي المطرزى (المتوفى: 610هـ)	0610
الإمام النووي	0676
محمد بن أحمد بن سعيد الحنفي المكي، شمس الدين، المعروف كوالده بعقيلة (المتوفى: 1150هـ)	1150
عبد الرؤوف المناوي	1031
معمر بن عبد الواحد بن رجاء بن عبد الواحد بن محمد بن الفاخر، أبو أحمد القرشي العبشمي السمرقندي الأصبهاني (المتوفى: 564هـ)	0564
الصالحي الشامي	0942
عبد الله بن أحمد بن حنبل	0241
علي بن محمد بن عبد الصمد الهمداني المصري الشافعي، أبو الحسن، علم الدين السخاوي (المتوفى: 643هـ)	0643
أبو الوليد محمد بن أحمد بن رشد القرطبي (المتوفى: 520هـ)	0520
السيد علي الطباطبائي	1231
الدكتور عمر كحالة	1450
المحقق الأردبيلي	0993
محمود الشهابي الخراساني	1450
حسن بن عمار بن علي الشرنبلالي المصري الحنفي (المتوفى: 1069هـ)	1069
الشنقيطي	1393
مناع بن خليل القطان (المتوفى: 1420هـ)	1420
القاضي عبد النبي بن عبد الرسول الأحمد نكري (المتوفى: ق 12هـ)	NOTGIVEN
عبد الفتاح أبو غدة الحلبي الحنفي (المتوفى: 1417هـ)	1417
إبراهيم القطان (المتوفى: 1404هـ)	1404
محمد بن أبي بكر الانصاري التلمساني المعروف بالبري (المتوفى : 644هـ)	0644
أبو عبد الله محمد بن الحسن بن فرقد الشيباني (المتوفى: 189هـ)	0189
سعد الملك، أبو نصر علي بن هبة الله بن جعفر بن ماكولا (المتوفى: 475هـ)	0475
ول ديورانت = ويليام جيمس ديورانت (المتوفى: 1981 م)	NOTGIVEN
علي بن محمد بن علي الزين الشريف الجرجاني (المتوفى: 816هـ)	0816
عبد الرحمن بن حسن بن محمد بن عبد الوهاب بن سليمان التميمي (المتوفى: 1285هـ)	1285
صدر الدين محمد بن علاء الدين علي بن محمد ابن أبي العز الحنفي، الأذرعي الصالحي الدمشقي (المتوفى: 792هـ)	0792
أبو العباس أحمد بن حسن بن الخطيب الشهير بابن قنفذ القسنطيني (المتوفى: 810هـ)	0810
أبو الفتح الكراجكي	0449
شهاب الدين أحمد بن أبي حجلة المغربي (المتوفى: 776هـ)	0776
محمد محمد أبو زهو رحمه الله	NOTGIVEN
الحافظ ابن البطريق	0600
محمد بن عبد الهادي أبو عبد الله	0744
أبو سعيد عثمان بن سعيد بن خالد بن سعيد الدارمي السجستاني (المتوفى: 280هـ)	0280
عبد الرحمن بن حمد بن زيد المغيري (المتوفى : 1364هـ)	1364
علاء الدين علي بن محمد بن إبراهيم البغدادي الشهير بالخازن	0725
أبو شجاع شيرويه بن شهردار بن شيرويه الديلمي الهمذاني الملقب إلكيا	0509
أبو محمد محمود بن أحمد بن موسى بن أحمد بن حسين الغيتابى الحنفى بدر الدين العينى (المتوفى : 855هـ)	0855
يوسف البديعي الدمشقي (المتوفى : 1073هـ)	1073
أبو سعيد خلف بن أبي القاسم القيرواني	0372
محمد بن علي بن محمد، أبو سهل الهروي (المتوفى: 433هـ)	0433
أبي نصر الفتح بن محمد بن عبيد الله بن خاقان ابن عبد الله القيسي الإشبيلي	NOTGIVEN
ضياء الدين محمد الواحد بن احمد المقدسي الحنبلي	0643
فخر الدين محمد بن عمر التميمي الرازي الشافعي	0606
سراج الدين أبي حفص عمر بن علي بن أحمد الأنصاري الشافعي المعروف بابن الملقن	0804
أحمد بن بدير، شهاب الدين الحلاق البديري (المتوفى: بعد 1175هـ)	NOTGIVEN
يوسف بن تغري بردي بن عبد الله الظاهري الحنفي، أبو المحاسن، جمال الدين (المتوفى: 874هـ)	0874
ابن الجوزي	0597
أبو عبد الله محمد بن داود بن الجراح	0296
شهاب الدين أحمد بن أبي حجلة المغربي (المتوفى : 776هـ)	0776
الشيخ داود الأنطاكي	1008
الحافظ زين الدين عبد الرحيم بن الحسين العراقي	0806
أبو نعيم الأصبهاني	0435
ابن أمير الحاج.	0879
الخطيب البغدادي	0463
أحمد بن يحيى بن جابر بن داود البلاذري (المتوفى: 279هـ)	0279
الشيخ محمد علي الأنصاري	1450
محمد أمين الإسترآبادي ، السيد نور الدين العاملي	1033 ، 1119
محمد بن محمد بن محمود، أكمل الدين أبو عبد الله ابن الشيخ شمس الدين ابن الشيخ جمال الدين الرومي البابرتي (المتوفى: 786هـ)	0786
القاسم بن يوسف بن محمد بن علي التجيبي البلنسي السبتي (المتوفى: 730هـ)	0730
عبد الله بن قدامه	0620
عبد الرزاق الصنعاني	0211
محمود أبو رية	1385
الشيخ جعفر كاشف الغطاء	1228
أبو حيان التوحيدي ، علي بن محمد بن العباس (المتوفى : نحو 400هـ)	0400
مجهول (توفي: بعد 372هـ)	NOTGIVEN
ابن حمزة الطوسي	0560
أبو عمر يوسف بن عبد الله بن عبد البر النمري	0463
محمد عبد الحي بن محمد عبد الحليم اللكنوي	1304
مجد الدين أبو السعادات المبارك بن محمد بن محمد بن محمد ابن عبد الكريم الشيباني الجزري ابن الأثير (المتوفى: 606هـ)	0606
محمد بن مكرم بن منظور الأفريقي المصري (المتوفى : 711هـ)	0711
الإمام جلال الدين عبد الرحمن السيوطي	0911
ابن أبي شيبة	0297
عمر بن قاسم بن محمد بن علي الأنصاري أبو حفص، سراج الدين النشار الشافعي المصري (المتوفى: 938هـ)	0938
محمد بن سليمان الكوفي	ح 300
أبو يعلى الخليلي، خليل بن عبد الله بن أحمد بن إبراهيم بن الخليل القزويني (المتوفى: 446هـ)	0446
عطية بن محمد سالم (المتوفى: 1420هـ)	1420
سعيد بن ناصر الغامدي	NOTGIVEN
علي بن أبي بكر بن علي الهروي، أبو الحسن (المتوفى: 611هـ)	0611
الإمام بدر الدين الزركشي	0794
ادوارد كرنيليوس فانديك (المتوفى: 1313هـ)	1313
تحقيق ضياء الدين المحمودي	1450
محمد بن علي بن عطية الحارثي، أبو طالب المكي (المتوفى: 386هـ)	0386
إسماعيل بن محمد بن الفضل بن علي القرشي الطليحي التيمي الأصبهاني، أبو القاسم، الملقب بقوام السنة (المتوفى: 535هـ)	0535
أحمد بن محمد بن سلامة بن عبدالملك بن سلمة أبو جعفر الطحاوي	0321
أبو محمد عبد الله بن محمد بن جعفر بن حيان الأنصاري المعروف بأبي الشيخ الأصبهاني (المتوفى: 369هـ)	0369
محمد بن أحمد + عبدالرحمن بن أبي بكر المحلي + السيوطي	0911
الضحاك	0287
أسلم بن سهل الرزاز الواسطي	0292
ياسين بن خير الله بن محمود بن موسى الخطيب العمري (المتوفى: بعد 1232هـ)	NOTGIVEN
تاج الدين عبد الوهاب بن تقي الدين السبكي (المتوفى: 771هـ)	0771
أحمد بن محمد المقري التلمساني	1041
الفضل بن شاذان الأزدي	0260
عبد الباسط بن موسى بن محمد بن إسماعيل العلموي ثم الموقت الدمشقي الشافعي (المتوفى: 981هـ)	0981
محمد بن محمد بن أحمد الغزال الدمشقي، بدر الدين، الشهير بسبط المارديني (المتوفى: 912هـ)	0912
أبو أحمد بن عدي الجرجاني (المتوفى: 365هـ)	0365
العيني	0855
البخاري	0256
محمد بن عبد الله الخرشي المالكي أبو عبد الله (المتوفى: 1101هـ)	1101
أحمد بن محمد بن علي بن حجر الهيتمي السعدي الأنصاري، شهاب الدين شيخ الإسلام، أبو العباس (المتوفى: 974هـ)	0974
الجزائري	1112
أبو عبد الله الحاكم محمد بن عبد الله بن محمد بن حمدويه بن نعيم بن الحكم الضبي الطهماني النيسابوري المعروف بابن البيع (المتوفى: 405هـ)	0405
علي بن إبراهيم بن داود بن سلمان بن سليمان، أبو الحسن، علاء الدين ابن العطار (المتوفى: 724هـ)	0724
الحسن بن أحمد بن عبد الغفار الفارسي الأصل، أبو علي (المتوفى: 377هـ)	0377
